"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
2,1697171560.6245,252#407@166.38:8.9,5.541,0.00276,-64.5,9.28,-83.5,1810,36,0.0003,-0.0002,0
4,1697171569.5226,252#407@166.38:8.9,5.891,0.0216,-75.1,11.2,-83.4,1850,1,0.0005,0,0
2,1697171569.5226,252#407@166.38:8.9,5.548,0,-61.6,2.58,-83.6,1810,37,0.0003,-0.0002,0
2,1697171578.421,252#407@166.38:8.9,5.543,0.00731,-63,8.57,-82.7,1810,38,0.0001,0.0001,0
2,1697171587.3191,252#407@166.38:8.9,5.546,0.0097,-64.3,3.81,-82.9,1810,39,0.0004,0.0001,0
2,1697171596.2172,252#407@166.38:8.9,5.544,0.00597,-62.9,7,-83,1810,40,0.0003,-0.0001,0
2,1697171605.1153,252#407@166.38:8.9,5.542,0.00226,-66.6,9.44,-83.3,1810,41,0.0003,-0.0001,0
2,1697171614.0133,252#407@166.38:8.9,5.55,0.00781,-66.1,7.86,-83.2,1810,42,0.0004,-0.0002,0
2,1697171622.9115,252#407@166.38:8.9,5.543,0.00504,-65.7,10.8,-83.2,1810,43,0.0002,-0.0001,0
2,1697171631.8095,252#407@166.38:8.9,5.543,0.00357,-67.6,35.5,-82.3,1810,44,0.0004,-0.0002,0
2,1697171640.7079,252#407@166.38:8.9,5.549,0.00529,-64.5,5.01,-83.4,1810,45,0.0004,0.0001,0
2,1697171649.606,252#407@166.38:8.9,5.541,0.00552,-65.5,6.4,-82.8,1810,46,0.0003,-0.0002,0
2,1697171658.5041,252#407@166.38:8.9,5.552,0.00695,-69.9,31.6,-83.3,1810,47,0.0007,-0.0001,0
2,1697171667.4022,252#407@166.38:8.9,5.549,0.0103,-66.5,14.6,-83,1810,48,0.0003,-0.0001,0
2,1697171676.3003,252#407@166.38:8.9,5.548,0.00748,-67.3,3.75,-83.2,1810,49,0.0003,-0.0001,0
2,1697171685.1986,252#407@166.38:8.9,5.543,0.00731,-69.4,9.72,-82.6,1810,50,9.99e-05,0.0001,0
2,1697171694.0967,252#407@166.38:8.9,5.537,0.00422,-68.9,3.78,-83.3,1810,51,0.0003,0.0001,0
2,1697171702.9948,252#407@166.38:8.9,5.553,0.0122,-70.9,9.04,-82.8,1810,52,0.0003,-0.0001,0
2,1697171711.8929,252#407@166.38:8.9,5.543,0.0178,-71.3,10.5,-83.2,1810,53,0.0008,-0.0001,0
2,1697171720.791,252#407@166.38:8.9,5.55,0.00478,-72,10.7,-83.5,1810,54,0.0003,-0.0002,0
